dataset,eval_protocol,model,eval_unit,fold,fold_subject,test_subject,validation_subject,n_train_windows,n_val_windows,n_test_windows,n_test_windows_raw,n_train_eval_samples,n_val_eval_samples,n_test_eval_samples,n_test_predictions,n_test_classes,total_params,trainable_params,non_trainable_params,parameter_size_mb_float32,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,artifact_dir
pamap2,loso,gnn_lstm,sequence,2,102,102,103,23396,2708,4095,4095,23333,2699,4086,4086,12,246412,246412,0,0.9399871826171876,0.899657366617719,0.8839995733036662,0.8853794355848006,0.8967202292493305,0.9060131002659088,0.8839995733036662,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_lstm\sequence
pamap2,loso,gnn_lstm,sequence,3,103,103,104,23892,3599,2708,2708,23829,3590,2699,2699,8,246412,246412,0,0.9399871826171876,0.838829195998518,0.8159713229052464,0.5509141963120417,0.8426016332424164,0.5850584631338235,0.5439808819368309,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_lstm\sequence
pamap2,loso,gnn_lstm,sequence,4,104,104,105,22364,4236,3599,3599,22301,4227,3590,3590,10,246412,246412,0,0.9399871826171876,0.9122562674094707,0.9104836158095362,0.7571305248014691,0.913409229842422,0.7607772702980511,0.7587363465079467,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_lstm\sequence
pamap2,loso,gnn_lstm,sequence,5,105,105,106,22076,3887,4236,4236,22013,3878,4227,4227,12,246412,246412,0,0.9399871826171876,0.8944878164182636,0.8689223717488836,0.8746144046693699,0.8933245071795862,0.8906809689793943,0.8689223717488836,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_lstm\sequence
pamap2,loso,gnn_lstm,sequence,6,106,106,107,22695,3617,3887,3887,22632,3608,3878,3878,12,246412,246412,0,0.9399871826171876,0.8416709644146467,0.7644345279690222,0.7583808686223371,0.8363871801575309,0.8023370391627919,0.7644345279690222,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_lstm\sequence
pamap2,loso,gnn_lstm,sequence,7,107,107,108,22506,4076,3617,3617,22443,4067,3608,3608,11,246412,246412,0,0.9399871826171876,0.863359201773836,0.851056464327431,0.7931390879625049,0.8763761535705622,0.8365273916071132,0.780135092300145,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_lstm\sequence
pamap2,loso,gnn_lstm,sequence,8,108,108,109,26025,98,4076,4076,25962,89,4067,4067,12,246412,246412,0,0.9399871826171876,0.3870174575854438,0.3864673571327868,0.3518660864404148,0.3720934944587212,0.4347242614652398,0.3864673571327868,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_lstm\sequence
pamap2,loso,gnn_lstm,sequence,9,109,109,101,26218,3883,98,98,26155,3874,89,89,1,246412,246412,0,0.9399871826171876,1.0,1.0,0.0833333333333333,1.0,0.0833333333333333,0.0833333333333333,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_lstm\sequence
pamap2,loso,improved_gnn_lstm,sequence,1,101,101,102,22221,4095,3883,3883,22158,4086,3874,3874,12,917133,917133,0,3.498584747314453,0.8709344346928239,0.8736584636481163,0.8814367153398143,0.8746322316974138,0.9065311919051778,0.8736584636481163,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,loso,improved_gnn_lstm,sequence,2,102,102,103,23396,2708,4095,4095,23333,2699,4086,4086,12,917133,917133,0,3.498584747314453,0.693587860988742,0.732765651575435,0.6944104285312145,0.6672623353623882,0.7261653447292581,0.732765651575435,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,loso,improved_gnn_lstm,sequence,3,103,103,104,23892,3599,2708,2708,23829,3590,2699,2699,8,917133,917133,0,3.498584747314453,0.8851426454242312,0.8910399877477002,0.5949656159457289,0.8889894875351072,0.6083037803034775,0.5940266584984668,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,loso,improved_gnn_lstm,sequence,4,104,104,105,22364,4236,3599,3599,22301,4227,3590,3590,10,917133,917133,0,3.498584747314453,0.9428969359331476,0.9389046058917474,0.7832837812269814,0.9434202422362846,0.7873986090129171,0.7824205049097895,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,loso,improved_gnn_lstm,sequence,5,105,105,106,22076,3887,4236,4236,22013,3878,4227,4227,12,917133,917133,0,3.498584747314453,0.8963804116394606,0.8975135557727135,0.8920766385662581,0.8969595089511017,0.8902669478475623,0.8975135557727135,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,loso,improved_gnn_lstm,sequence,6,106,106,107,22695,3617,3887,3887,22632,3608,3878,3878,12,917133,917133,0,3.498584747314453,0.9071686436307376,0.8333115407905769,0.8288349436467289,0.9082106557017916,0.8272127467463949,0.8333115407905769,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,loso,improved_gnn_lstm,sequence,7,107,107,108,22506,4076,3617,3617,22443,4067,3608,3608,11,917133,917133,0,3.498584747314453,0.9634146341463414,0.9388359681847532,0.8688260547125983,0.9631446128847652,0.880467321255844,0.8605996375026904,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,loso,improved_gnn_lstm,sequence,8,108,108,109,26025,98,4076,4076,25962,89,4067,4067,12,917133,917133,0,3.498584747314453,0.7270715515121712,0.7028390320251426,0.6445084452577692,0.6782554077883933,0.6634789779245643,0.7028390320251426,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,loso,improved_gnn_lstm,sequence,9,109,109,101,26218,3883,98,98,26155,3874,89,89,1,917133,917133,0,3.498584747314453,1.0,1.0,0.0833333333333333,1.0,0.0833333333333333,0.0833333333333333,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
