result_set,feature_set,window_type,family,model,test_subject,accuracy,macro_f1,worst_activity,worst_activity_recall,worst_activity_support,dominant_confusion,dominant_confusion_count
canonical_protocol_only,acc16_hr,overlapping,baseline,random_forest,101,0.7746587689930466,0.7568456652632939,descending_stairs,0.4104803493449782,229,vacuum_cleaning -> cycling,134
canonical_protocol_only,acc16_hr,overlapping,baseline,random_forest,102,0.8241758241758241,0.8091207946905379,descending_stairs,0.23504273504273504,234,sitting -> ironing,94
canonical_protocol_only,acc16_hr,overlapping,baseline,random_forest,103,0.9110044313146234,0.7252591375176795,descending_stairs,0.7787234042553192,235,standing -> sitting,37
canonical_protocol_only,acc16_hr,overlapping,baseline,random_forest,104,0.7596554598499583,0.6274965458620146,ironing,0.2596401028277635,389,ironing -> vacuum_cleaning,194
canonical_protocol_only,acc16_hr,overlapping,baseline,random_forest,105,0.8954202077431539,0.8884028337631401,descending_stairs,0.7142857142857143,196,vacuum_cleaning -> ironing,69
canonical_protocol_only,acc16_hr,overlapping,baseline,random_forest,106,0.853357344996141,0.7744691234662614,rope_jumping,0.0,3,standing -> sitting,123
canonical_protocol_only,acc16_hr,overlapping,baseline,random_forest,107,0.8869228642521426,0.8032710039486037,descending_stairs,0.6983240223463687,179,standing -> lying,60
canonical_protocol_only,acc16_hr,overlapping,baseline,random_forest,108,0.9259077526987243,0.9091272800276397,descending_stairs,0.7905405405405406,148,ironing -> standing,22
canonical_protocol_only,acc16_hr,overlapping,baseline,random_forest,109,0.826530612244898,0.18100558659217877,rope_jumping,0.826530612244898,98,rope_jumping -> ascending_stairs,6
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,101,0.9008776458440888,0.9046565900203198,sitting,0.6010928961748634,183,sitting -> standing,47
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,102,0.8334965719882468,0.8196602757555836,nordic_walking,0.12931034482758622,232,nordic_walking -> rope_jumping,155
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,103,0.870919881305638,0.8725794726417809,sitting,0.49107142857142855,224,sitting -> standing,112
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,104,0.9337047353760446,0.9267886268828184,cycling,0.5875706214689266,177,cycling -> vacuum_cleaning,71
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,105,0.8806818181818182,0.8791503821780696,standing,0.47093023255813954,172,standing -> ironing,61
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,106,0.9427539969056214,0.8606346391079535,rope_jumping,0.0,2,ironing -> standing,16
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,107,0.975609756097561,0.8891436829304077,running,0.9285714285714286,28,vacuum_cleaning -> ironing,10
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,108,0.7047244094488189,0.6182917242160457,nordic_walking,0.0,225,nordic_walking -> walking,117
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,109,0.65,0.3939393939393939,rope_jumping,0.65,40,rope_jumping -> running,14
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_res,101,0.8771295818275684,0.8808414436076214,sitting,0.5573770491803278,183,vacuum_cleaning -> cycling,47
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_res,102,0.8050930460333007,0.7379184021851136,running,0.027777777777777776,72,nordic_walking -> descending_stairs,174
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_res,103,0.9124629080118695,0.7294297148586243,ironing,0.8394495412844036,218,sitting -> standing,24
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_res,104,0.8557103064066852,0.8346197452313096,cycling,0.12429378531073447,177,cycling -> vacuum_cleaning,153
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_res,105,0.8925189393939394,0.8936594467654606,standing,0.47674418604651164,172,standing -> ironing,62
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_res,106,0.8958225889633832,0.826761051568533,standing,0.49473684210526314,190,standing -> sitting,77
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_res,107,0.975609756097561,0.9714119838360389,running,0.9285714285714286,28,ironing -> standing,7
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_res,108,0.6619094488188977,0.5795786651393463,nordic_walking,0.0,225,nordic_walking -> descending_stairs,218
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_res,109,0.0,0.0,rope_jumping,0.0,40,rope_jumping -> running,40
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,101,0.8332472896231286,0.8215466805647936,descending_stairs,0.3231441048034934,229,descending_stairs -> ascending_stairs,128
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,102,0.8702887909936368,0.8347721855828397,descending_stairs,0.13675213675213677,234,descending_stairs -> cycling,94
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,103,0.9299740644683216,0.6209244396168776,ironing,0.8348623853211009,436,ironing -> standing,33
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,104,0.9317548746518106,0.8457343134040937,standing,0.7792207792207793,385,standing -> sitting,80
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,105,0.9079725573692926,0.9100434676029655,sitting,0.7392344497607656,418,sitting -> standing,98
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,106,0.9167096441464673,0.8375798242153593,rope_jumping,0.0,3,standing -> sitting,60
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,107,0.9578713968957872,0.8659898142412622,vacuum_cleaning,0.7910447761194029,335,vacuum_cleaning -> sitting,48
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,108,0.7046963363658717,0.7177220962139385,nordic_walking,0.0,450,nordic_walking -> sitting,443
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,109,0.9775280898876404,0.4943181818181818,rope_jumping,0.9775280898876404,89,rope_jumping -> running,2
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_res,101,0.8913267940113577,0.8990617542984789,sitting,0.7041095890410959,365,sitting -> standing,85
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_res,102,0.8788546255506607,0.8691868299643618,descending_stairs,0.5726495726495726,234,sitting -> ironing,91
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_res,103,0.8918117821415339,0.6509742652112306,sitting,0.7700892857142857,448,sitting -> lying,88
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_res,104,0.9434540389972145,0.9442357662721786,standing,0.7584415584415585,385,standing -> sitting,93
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_res,105,0.9188549798911758,0.9189253507815565,sitting,0.7655502392344498,418,sitting -> standing,95
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_res,106,0.890149561629706,0.8159209844836056,rope_jumping,0.0,3,sitting -> standing,119
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_res,107,0.9675720620842572,0.957889967064018,running,0.7857142857142857,56,vacuum_cleaning -> ironing,28
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_res,108,0.6016719940988443,0.5077731126045331,nordic_walking,0.0,450,nordic_walking -> descending_stairs,438
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_res,109,0.6404494382022472,0.3904109589041096,rope_jumping,0.6404494382022472,89,rope_jumping -> running,32
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,101,0.9106866288074342,0.9105398238362262,sitting,0.5792349726775956,183,sitting -> standing,57
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,102,0.8746327130264446,0.7831520243399064,running,0.027777777777777776,72,running -> rope_jumping,58
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,103,0.9250741839762612,0.823707311549317,sitting,0.8125,224,sitting -> standing,42
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,104,0.9398328690807799,0.8564593084622447,standing,0.7823834196891192,193,standing -> sitting,42
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,105,0.8925189393939394,0.892792814795472,standing,0.4186046511627907,172,standing -> ironing,79
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,106,0.9195461578133058,0.8698484610096261,rope_jumping,0.5,2,standing -> sitting,65
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,107,0.958980044345898,0.9465484286030587,running,0.7857142857142857,28,standing -> sitting,27
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,108,0.6756889763779528,0.6010459183139355,nordic_walking,0.0,225,nordic_walking -> vacuum_cleaning,119
