result_set,feature_set,window_type,protocol,family,model,activity_group,support,sensitivity,specificity,main_confusion,main_confusion_count
canonical_protocol_only_v3,acc16_gyro,non_overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,household,598,0.9866220735785953,0.9987562189054726,household -> posture,8
canonical_protocol_only_v3,acc16_gyro,non_overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,jump,73,0.9726027397260274,0.9996595165134491,jump -> posture,2
canonical_protocol_only_v3,acc16_gyro,non_overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,locomotion,1079,0.989805375347544,1.0,locomotion -> posture,7
canonical_protocol_only_v3,acc16_gyro,non_overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,posture,925,1.0,0.9918465227817745,none,0
canonical_protocol_only_v3,acc16_gyro,non_overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,stairs,335,0.9940298507462687,0.9992523364485981,stairs -> household,2
canonical_protocol_only_v3,acc16_gyro,non_overlapping,random_holdout,deep,improved_gnn_lstm_res,household,598,0.9816053511705686,0.9991708126036484,household -> posture,10
canonical_protocol_only_v3,acc16_gyro,non_overlapping,random_holdout,deep,improved_gnn_lstm_res,jump,73,0.9315068493150684,0.9989785495403473,jump -> posture,4
canonical_protocol_only_v3,acc16_gyro,non_overlapping,random_holdout,deep,improved_gnn_lstm_res,locomotion,1079,0.995366079703429,0.9994821336095288,locomotion -> jump,2
canonical_protocol_only_v3,acc16_gyro,non_overlapping,random_holdout,deep,improved_gnn_lstm_res,posture,925,0.9989189189189189,0.9918465227817745,posture -> stairs,1
canonical_protocol_only_v3,acc16_gyro,non_overlapping,random_holdout,deep,improved_gnn_lstm_res,stairs,335,0.9880597014925373,0.9988785046728972,stairs -> household,1
canonical_protocol_only_v3,acc16_gyro,overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,household,6446,0.8752714861929879,0.9727526191280839,household -> posture,727
canonical_protocol_only_v3,acc16_gyro,overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,jump,753,0.9083665338645418,0.9986718883024008,jump -> posture,26
canonical_protocol_only_v3,acc16_gyro,overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,locomotion,10734,0.9194149431712316,0.9881861328931077,locomotion -> posture,540
canonical_protocol_only_v3,acc16_gyro,overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,posture,8763,0.9487618395526646,0.9347225474127839,posture -> household,352
canonical_protocol_only_v3,acc16_gyro,overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,stairs,3422,0.8977206312098188,0.9913844770752173,stairs -> locomotion,136
canonical_protocol_only_v3,acc16_gyro,overlapping,loso,deep,improved_gnn_lstm_res,household,6446,0.8855103940428173,0.9807789793849273,household -> posture,474
canonical_protocol_only_v3,acc16_gyro,overlapping,loso,deep,improved_gnn_lstm_res,jump,753,0.848605577689243,0.9911459220160055,jump -> locomotion,47
canonical_protocol_only_v3,acc16_gyro,overlapping,loso,deep,improved_gnn_lstm_res,locomotion,10734,0.8994782932737098,0.9764238547255468,locomotion -> stairs,644
canonical_protocol_only_v3,acc16_gyro,overlapping,loso,deep,improved_gnn_lstm_res,posture,8763,0.9570923199817414,0.9673612737063919,posture -> household,269
canonical_protocol_only_v3,acc16_gyro,overlapping,loso,deep,improved_gnn_lstm_res,stairs,3422,0.9035651665692578,0.9712316451902907,stairs -> locomotion,138
canonical_protocol_only_v3,acc16_gyro,overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,household,1331,0.9917355371900827,0.998934583422118,household -> posture,9
canonical_protocol_only_v3,acc16_gyro,overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,jump,153,1.0,0.999659342531085,none,0
canonical_protocol_only_v3,acc16_gyro,overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,locomotion,2062,0.992725509214355,0.9984856133266027,locomotion -> posture,8
canonical_protocol_only_v3,acc16_gyro,overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,posture,1781,0.9966311061201573,0.9950506716945557,posture -> locomotion,3
canonical_protocol_only_v3,acc16_gyro,overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,stairs,697,0.9870875179340028,0.9986859395532195,stairs -> posture,4
canonical_protocol_only_v3,acc16_gyro,overlapping,random_holdout,deep,improved_gnn_lstm_res,household,1331,0.9887302779864763,0.9976560835286598,household -> posture,14
canonical_protocol_only_v3,acc16_gyro,overlapping,random_holdout,deep,improved_gnn_lstm_res,jump,153,0.9869281045751634,1.0,jump -> locomotion,2
canonical_protocol_only_v3,acc16_gyro,overlapping,random_holdout,deep,improved_gnn_lstm_res,locomotion,2062,0.991270611057226,0.9979808177688037,locomotion -> stairs,8
