result_set,feature_set,protocol,family,model,activity_group,support,recall
canonical_protocol_only,acc16_hr,loso,baseline,linear_svm,household,6446,0.8758920260626746
canonical_protocol_only,acc16_hr,loso,baseline,linear_svm,jump,762,0.8241469816272966
canonical_protocol_only,acc16_hr,loso,baseline,linear_svm,locomotion,10734,0.922023476802683
canonical_protocol_only,acc16_hr,loso,baseline,linear_svm,posture,8835,0.8846632710809281
canonical_protocol_only,acc16_hr,loso,baseline,linear_svm,stairs,3422,0.8562244301578025
canonical_protocol_only,acc16_hr,loso,baseline,random_forest,household,6446,0.9173130623642569
canonical_protocol_only,acc16_hr,loso,baseline,random_forest,jump,762,0.8779527559055118
canonical_protocol_only,acc16_hr,loso,baseline,random_forest,locomotion,10734,0.922023476802683
canonical_protocol_only,acc16_hr,loso,baseline,random_forest,posture,8835,0.9200905489530278
canonical_protocol_only,acc16_hr,loso,baseline,random_forest,stairs,3422,0.8576855639976622
canonical_protocol_only,acc16_hr,loso,baseline,rbf_svm,household,6446,0.8772882407694694
canonical_protocol_only,acc16_hr,loso,baseline,rbf_svm,jump,762,0.7769028871391076
canonical_protocol_only,acc16_hr,loso,baseline,rbf_svm,locomotion,10734,0.8868082727780883
canonical_protocol_only,acc16_hr,loso,baseline,rbf_svm,posture,8835,0.8820599886813809
canonical_protocol_only,acc16_hr,loso,baseline,rbf_svm,stairs,3422,0.8576855639976622
canonical_protocol_only,acc16_hr,random_holdout,baseline,adaboost_tree,household,1268,0.8769716088328076
canonical_protocol_only,acc16_hr,random_holdout,baseline,adaboost_tree,jump,161,0.453416149068323
canonical_protocol_only,acc16_hr,random_holdout,baseline,adaboost_tree,locomotion,2145,0.9072261072261072
canonical_protocol_only,acc16_hr,random_holdout,baseline,adaboost_tree,posture,1790,0.9430167597765363
canonical_protocol_only,acc16_hr,random_holdout,baseline,adaboost_tree,stairs,676,0.6834319526627219
canonical_protocol_only,acc16_hr,random_holdout,baseline,bagged_tree_entropy,household,1268,0.9700315457413249
canonical_protocol_only,acc16_hr,random_holdout,baseline,bagged_tree_entropy,jump,161,0.906832298136646
canonical_protocol_only,acc16_hr,random_holdout,baseline,bagged_tree_entropy,locomotion,2145,0.9757575757575757
canonical_protocol_only,acc16_hr,random_holdout,baseline,bagged_tree_entropy,posture,1790,0.9737430167597766
canonical_protocol_only,acc16_hr,random_holdout,baseline,bagged_tree_entropy,stairs,676,0.9393491124260355
canonical_protocol_only,acc16_hr,random_holdout,baseline,decision_tree_entropy,household,1268,0.9384858044164038
