dataset,eval_protocol,model,eval_unit,fold,fold_subject,test_subject,validation_subject,n_train_windows,n_val_windows,n_test_windows,n_test_windows_raw,n_train_eval_samples,n_val_eval_samples,n_test_eval_samples,n_test_predictions,n_test_classes,total_params,trainable_params,non_trainable_params,parameter_size_mb_float32,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,artifact_dir
pamap2,loso,improved_gnn_lstm,sequence,3,103,103,104,23892,3599,2708,2708,23829,3590,2699,2699,8,928269,928269,0,3.541065216064453,0.9162652834383104,0.907033108378189,0.6115429870138004,0.9193520660766222,0.6205211050715113,0.6046887389187926,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,loso,improved_gnn_lstm,sequence,4,104,104,105,22364,4236,3599,3599,22301,4227,3590,3590,10,928269,928269,0,3.541065216064453,0.8863509749303621,0.8919627852582905,0.7263065920618489,0.8715529011577908,0.7464332739531088,0.7433023210485755,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,loso,improved_gnn_lstm,sequence,5,105,105,106,22076,3887,4236,4236,22013,3878,4227,4227,12,928269,928269,0,3.541065216064453,0.8859711379228767,0.8782563863873841,0.8746649856313374,0.8857667445002635,0.8899325626472381,0.8782563863873841,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,loso,improved_gnn_lstm,sequence,6,106,106,107,22695,3617,3887,3887,22632,3608,3878,3878,12,928269,928269,0,3.541065216064453,0.9223826714801444,0.8479765136221685,0.8447560419150849,0.9229024681062492,0.8470920075752382,0.8479765136221685,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,loso,improved_gnn_lstm,sequence,7,107,107,108,22506,4076,3617,3617,22443,4067,3608,3608,11,928269,928269,0,3.541065216064453,0.9517738359201774,0.931359002117449,0.8578907097074652,0.9520049806884622,0.8693067701190609,0.8537457519409949,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,loso,improved_gnn_lstm,sequence,8,108,108,109,26025,98,4076,4076,25962,89,4067,4067,12,928269,928269,0,3.541065216064453,0.7216621588394394,0.7076862723849544,0.6683907944759871,0.7134068564102471,0.7284948518073383,0.7076862723849544,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,loso,improved_gnn_lstm,sequence,9,109,109,101,26218,3883,98,98,26155,3874,89,89,1,928269,928269,0,3.541065216064453,0.651685393258427,0.651685393258427,0.0657596371882086,0.7891156462585035,0.0833333333333333,0.0543071161048689,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,loso,improved_gnn_lstm_attn_adj,sequence,1,101,101,102,22221,4095,3883,3883,22158,4086,3874,3874,12,928753,928753,0,3.542911529541016,0.8828084667010841,0.8827606484274028,0.8850290419165284,0.8815903250027248,0.8979075581781965,0.8827606484274028,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj\sequence
pamap2,loso,improved_gnn_lstm_attn_adj,sequence,2,102,102,103,23396,2708,4095,4095,23333,2699,4086,4086,12,928753,928753,0,3.542911529541016,0.869309838472834,0.8730088635946786,0.8708482970430528,0.8678384623918091,0.8890408367142383,0.8730088635946786,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj\sequence
pamap2,loso,improved_gnn_lstm_attn_adj,sequence,3,103,103,104,23892,3599,2708,2708,23829,3590,2699,2699,8,928753,928753,0,3.542911529541016,0.927010003705076,0.917559134065684,0.6181440555563588,0.9289364648221022,0.6270038481109773,0.6117060893771227,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj\sequence
