dataset,feature_set,protocol,family,model,fold,test_subject,perturbation,severity,status,clean_accuracy,perturbed_accuracy,accuracy_drop,clean_macro_f1,perturbed_macro_f1,macro_f1_drop,most_affected_class,n_eval_samples,checkpoint_path
pamap2,acc16_hr,loso,baseline,knn_k5,4,104,heart_rate_zero,low,ok,0.7949430397332592,0.6437899416504584,0.1511530980828007,0.6626114953706196,0.6347486674991757,0.0278628278714438,walking,3599.0,
pamap2,acc16_hr,loso,baseline,knn_k5,5,105,heart_rate_zero,low,ok,0.8368744098205855,0.6102455146364495,0.2266288951841359,0.828298732474857,0.5806009015071191,0.2476978309677379,walking,4236.0,
pamap2,acc16_hr,loso,baseline,knn_k5,6,106,heart_rate_zero,low,ok,0.8525855415487522,0.6879341394391562,0.164651402109596,0.7811061213572339,0.630823592338483,0.1502825290187509,cycling,3887.0,
pamap2,acc16_hr,loso,baseline,knn_k5,7,107,heart_rate_zero,low,ok,0.86508155930329,0.7019629527232513,0.1631186065800387,0.7740096465925091,0.6797838792005201,0.094225767391989,cycling,3617.0,
pamap2,acc16_hr,loso,baseline,knn_k5,8,108,heart_rate_zero,low,ok,0.7924435721295388,0.535819430814524,0.2566241413150147,0.7797713652112575,0.5371851579670351,0.2425862072442223,cycling,4076.0,
pamap2,acc16_hr,loso,baseline,knn_k5,9,109,heart_rate_zero,low,ok,0.6632653061224489,0.4183673469387755,0.2448979591836734,0.1139351446099912,0.0589928057553956,0.0549423388545955,rope_jumping,98.0,
pamap2,acc16_hr,loso,baseline,knn_k5,aggregate,aggregate,heart_rate_zero,low,ok,0.8230404980297361,0.6410808304910759,0.1819596675386602,0.8221990226076247,0.6565447792915808,0.1656542433160438,walking,30199.0,
pamap2,acc16_hr,loso,baseline,knn_k5,1,101,heart_rate_zero,medium,ok,0.8091681689415401,0.7084728302858615,0.1006953386556785,0.8031975026717225,0.716365008400725,0.0868324942709974,ironing,3883.0,
pamap2,acc16_hr,loso,baseline,knn_k5,2,102,heart_rate_zero,medium,ok,0.8239316239316239,0.5921855921855922,0.2317460317460317,0.8223616149593281,0.5963811135257837,0.2259805014335444,walking,4095.0,
pamap2,acc16_hr,loso,baseline,knn_k5,3,103,heart_rate_zero,medium,ok,0.8105612998522895,0.6809453471196455,0.129615952732644,0.5443931748341976,0.5389763907462839,0.0054167840879136,walking,2708.0,
pamap2,acc16_hr,loso,baseline,knn_k5,4,104,heart_rate_zero,medium,ok,0.7949430397332592,0.6437899416504584,0.1511530980828007,0.6626114953706196,0.6347486674991757,0.0278628278714438,walking,3599.0,
pamap2,acc16_hr,loso,baseline,knn_k5,5,105,heart_rate_zero,medium,ok,0.8368744098205855,0.6102455146364495,0.2266288951841359,0.828298732474857,0.5806009015071191,0.2476978309677379,walking,4236.0,
pamap2,acc16_hr,loso,baseline,knn_k5,6,106,heart_rate_zero,medium,ok,0.8525855415487522,0.6879341394391562,0.164651402109596,0.7811061213572339,0.630823592338483,0.1502825290187509,cycling,3887.0,
pamap2,acc16_hr,loso,baseline,knn_k5,7,107,heart_rate_zero,medium,ok,0.86508155930329,0.7019629527232513,0.1631186065800387,0.7740096465925091,0.6797838792005201,0.094225767391989,cycling,3617.0,
pamap2,acc16_hr,loso,baseline,knn_k5,8,108,heart_rate_zero,medium,ok,0.7924435721295388,0.535819430814524,0.2566241413150147,0.7797713652112575,0.5371851579670351,0.2425862072442223,cycling,4076.0,
pamap2,acc16_hr,loso,baseline,knn_k5,9,109,heart_rate_zero,medium,ok,0.6632653061224489,0.4183673469387755,0.2448979591836734,0.1139351446099912,0.0589928057553956,0.0549423388545955,rope_jumping,98.0,
pamap2,acc16_hr,loso,baseline,knn_k5,aggregate,aggregate,heart_rate_zero,medium,ok,0.8230404980297361,0.6410808304910759,0.1819596675386602,0.8221990226076247,0.6565447792915808,0.1656542433160438,walking,30199.0,
pamap2,acc16_hr,loso,baseline,knn_k5,1,101,heart_rate_zero,high,ok,0.8091681689415401,0.7084728302858615,0.1006953386556785,0.8031975026717225,0.716365008400725,0.0868324942709974,ironing,3883.0,
pamap2,acc16_hr,loso,baseline,knn_k5,2,102,heart_rate_zero,high,ok,0.8239316239316239,0.5921855921855922,0.2317460317460317,0.8223616149593281,0.5963811135257837,0.2259805014335444,walking,4095.0,
pamap2,acc16_hr,loso,baseline,knn_k5,3,103,heart_rate_zero,high,ok,0.8105612998522895,0.6809453471196455,0.129615952732644,0.5443931748341976,0.5389763907462839,0.0054167840879136,walking,2708.0,
pamap2,acc16_hr,loso,baseline,knn_k5,4,104,heart_rate_zero,high,ok,0.7949430397332592,0.6437899416504584,0.1511530980828007,0.6626114953706196,0.6347486674991757,0.0278628278714438,walking,3599.0,
pamap2,acc16_hr,loso,baseline,knn_k5,5,105,heart_rate_zero,high,ok,0.8368744098205855,0.6102455146364495,0.2266288951841359,0.828298732474857,0.5806009015071191,0.2476978309677379,walking,4236.0,
pamap2,acc16_hr,loso,baseline,knn_k5,6,106,heart_rate_zero,high,ok,0.8525855415487522,0.6879341394391562,0.164651402109596,0.7811061213572339,0.630823592338483,0.1502825290187509,cycling,3887.0,
pamap2,acc16_hr,loso,baseline,knn_k5,7,107,heart_rate_zero,high,ok,0.86508155930329,0.7019629527232513,0.1631186065800387,0.7740096465925091,0.6797838792005201,0.094225767391989,cycling,3617.0,
pamap2,acc16_hr,loso,baseline,knn_k5,8,108,heart_rate_zero,high,ok,0.7924435721295388,0.535819430814524,0.2566241413150147,0.7797713652112575,0.5371851579670351,0.2425862072442223,cycling,4076.0,
pamap2,acc16_hr,loso,baseline,knn_k5,9,109,heart_rate_zero,high,ok,0.6632653061224489,0.4183673469387755,0.2448979591836734,0.1139351446099912,0.0589928057553956,0.0549423388545955,rope_jumping,98.0,
pamap2,acc16_hr,loso,baseline,knn_k5,aggregate,aggregate,heart_rate_zero,high,ok,0.8230404980297361,0.6410808304910759,0.1819596675386602,0.8221990226076247,0.6565447792915808,0.1656542433160438,walking,30199.0,
pamap2,acc16_hr,loso,baseline,random_forest,1,101,gaussian_noise,low,ok,0.7746587689930466,0.7453000257532836,0.029358743239763,0.7568456652632939,0.7306526019946049,0.0261930632686889,ironing,3883.0,
pamap2,acc16_hr,loso,baseline,random_forest,2,102,gaussian_noise,low,ok,0.8241758241758241,0.7692307692307693,0.0549450549450548,0.8091207946905379,0.7597071934437417,0.0494136012467961,sitting,4095.0,
pamap2,acc16_hr,loso,baseline,random_forest,3,103,gaussian_noise,low,ok,0.9110044313146234,0.8977104874446086,0.0132939438700148,0.7252591375176795,0.7145137806987492,0.0107453568189302,standing,2708.0,
pamap2,acc16_hr,loso,baseline,random_forest,4,104,gaussian_noise,low,ok,0.7596554598499583,0.7515976660183384,0.0080577938316198,0.6274965458620146,0.6205256822053606,0.006970863656654,ironing,3599.0,
