result_set,feature_set,window_type,protocol,family,model,activity_group,support,recall
canonical_protocol_only_v3,acc16_gyro,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,jump,373,0.8873994638069705
canonical_protocol_only_v3,acc16_gyro,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,locomotion,5378,0.8893640758646337
canonical_protocol_only_v3,acc16_gyro,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,posture,4353,0.9563519411899839
canonical_protocol_only_v3,acc16_gyro,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,stairs,1719,0.9226294357184409
canonical_protocol_only_v3,acc16_gyro,non_overlapping,loso,deep,improved_gnn_lstm_res,household,3226,0.9110353378797272
canonical_protocol_only_v3,acc16_gyro,non_overlapping,loso,deep,improved_gnn_lstm_res,jump,373,0.8150134048257373
canonical_protocol_only_v3,acc16_gyro,non_overlapping,loso,deep,improved_gnn_lstm_res,locomotion,5378,0.8393454815916698
canonical_protocol_only_v3,acc16_gyro,non_overlapping,loso,deep,improved_gnn_lstm_res,posture,4353,0.9593383873190903
canonical_protocol_only_v3,acc16_gyro,non_overlapping,loso,deep,improved_gnn_lstm_res,stairs,1719,0.9342641070389761
canonical_protocol_only_v3,acc16_gyro,non_overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,household,598,0.9866220735785953
canonical_protocol_only_v3,acc16_gyro,non_overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,jump,73,0.9726027397260274
canonical_protocol_only_v3,acc16_gyro,non_overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,locomotion,1079,0.989805375347544
canonical_protocol_only_v3,acc16_gyro,non_overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,posture,925,1.0
canonical_protocol_only_v3,acc16_gyro,non_overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,stairs,335,0.9940298507462687
canonical_protocol_only_v3,acc16_gyro,non_overlapping,random_holdout,deep,improved_gnn_lstm_res,household,598,0.9816053511705686
