result_set,feature_set,window_type,family,model,test_subject,n_test_classes,accuracy,balanced_accuracy,macro_f1,weighted_f1
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_res,105,12.0,0.9223484848484848,0.9208888394447396,0.9170150777656386,0.9181893732606364
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_res,106,12.0,0.9025270758122744,0.9178070327752826,0.8501100838085246,0.9042811624261724
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_res,107,11.0,0.9661862527716186,0.9648729239115412,0.883849051132959,0.9662662620191208
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_res,108,12.0,0.687007874015748,0.6617931345203382,0.5902120894276041,0.6409005814729001
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_res,109,1.0,0.0,0.0,0.0,0.0
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,knn_k5,101,,0.8083247687564235,0.8024954633234528,0.8056778030680424,0.8071418687847961
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,knn_k5,102,,0.8064358849341785,0.8150841560074596,0.8207703361139318,0.7981451605685582
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,knn_k5,103,,0.8165070007369197,0.8126883428220991,0.545041345762794,0.8227403580344413
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,knn_k5,104,,0.8126385809312638,0.8064944858685786,0.6770137452485571,0.8114757400112048
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,knn_k5,105,,0.8378123526638378,0.8260477772451905,0.8383137468281737,0.8395296720143605
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,knn_k5,106,,0.8444558521560575,0.7745664156475325,0.7760775940553285,0.8457011046931396
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,knn_k5,107,,0.875896304467733,0.8554842247557416,0.7956359586719642,0.8769769460639022
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,knn_k5,108,,0.7765801077902988,0.7694342159403904,0.7803249652000624,0.7749593654439157
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,knn_k5,109,,0.4693877551020408,1.0,0.0709876543209876,0.6388888888888888
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,random_forest,101,,0.8345323741007195,0.834041929867992,0.8327382334579531,0.8314607534668502
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,random_forest,102,,0.8800585080448562,0.870808610502538,0.8771247405477739,0.8783964415465376
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,random_forest,103,,0.9086219602063376,0.9113094334855624,0.6043467707102109,0.915045330053882
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,random_forest,104,,0.8059866962305987,0.824027668823852,0.6673267782543785,0.8024992689607221
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,random_forest,105,,0.8939179632248939,0.8863569324924825,0.892446148756448,0.895572123844424
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,random_forest,106,,0.8711498973305954,0.797294217928512,0.7941909613924922,0.8720041533726665
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,random_forest,107,,0.916161059018202,0.8990305153232686,0.905988572556404,0.9172741763630292
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,random_forest,108,,0.9216070553650172,0.9031670804235972,0.9040589658787596,0.923828026284338
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,random_forest,109,,0.8979591836734694,1.0,0.2365591397849462,0.946236559139785
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,101,12.0,0.8002065049044915,0.810062288991067,0.8025930776761966,0.7959131581903688
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,102,12.0,0.8859520313264807,0.8709638163542545,0.8704405799931143,0.8830150962773339
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,103,8.0,0.9466469062615784,0.9426055071375734,0.6306969630037533,0.9473630634300164
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,104,10.0,0.8676880222841226,0.8734260926202708,0.7045032235378237,0.8493754842593271
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,105,12.0,0.9134137686302342,0.9128070195278618,0.910240841195728,0.9126339620181732
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,106,12.0,0.908457968024755,0.8385558516632529,0.8346784194683452,0.9104219543041016
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,107,11.0,0.9553769401330376,0.9382448513593404,0.8639608979422548,0.9557449985145788
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,108,12.0,0.7516597000245882,0.7446779811032259,0.6783385661916101,0.7090530461331246
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,109,1.0,1.0,1.0,0.0833333333333333,1.0
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,deep,improved_gnn_lstm_res,101,12.0,0.8709344346928239,0.8690050991545695,0.8694546239109183,0.8724104085791825
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,deep,improved_gnn_lstm_res,102,12.0,0.7887909936368086,0.8133813121287958,0.7821703617267765,0.7655991751505353
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,deep,improved_gnn_lstm_res,103,8.0,0.924416450537236,0.9258038308811988,0.614640337609768,0.9266317082112786
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,deep,improved_gnn_lstm_res,104,10.0,0.9256267409470752,0.9264262014160056,0.7681909437515277,0.9237161416633884
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,deep,improved_gnn_lstm_res,105,12.0,0.9037142181215992,0.8990627203020288,0.9014036633841492,0.9023204633280144
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,deep,improved_gnn_lstm_res,106,12.0,0.8994326972666323,0.8287511888195609,0.8209920128347461,0.8979821717783356
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,deep,improved_gnn_lstm_res,107,11.0,0.9484478935698448,0.9402759225592848,0.8599299086596717,0.9504754307175992
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,deep,improved_gnn_lstm_res,108,12.0,0.7728055077452668,0.7594957519337145,0.7421925086849027,0.775941772564486
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,deep,improved_gnn_lstm_res,109,1.0,1.0,1.0,0.0833333333333333,1.0
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,knn_k5,101,,0.8148338913211435,0.810378884603927,0.8121816270242744,0.8132624060772246
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,knn_k5,102,,0.8051282051282052,0.8154937234541841,0.8189361832772,0.7945329963732572
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,knn_k5,103,,0.8323485967503693,0.8245776184146116,0.5559433219364377,0.8373004360226483
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,knn_k5,104,,0.8263406501806058,0.8227230980642544,0.6905384057556874,0.8267430394062698
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,knn_k5,105,,0.851038715769594,0.8418982011425292,0.8525201062340176,0.8521920646372431
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,knn_k5,106,,0.8484692564960123,0.7788255962281054,0.7784540694117482,0.8498799178218264
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,knn_k5,107,,0.8747580868122754,0.8561686266933664,0.7935712190042064,0.8763330029280347
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,knn_k5,108,,0.784838076545633,0.7766967270294626,0.7832940039397246,0.7823525394723657
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,knn_k5,109,,0.5306122448979592,1.0,0.0866666666666666,0.6933333333333334
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,random_forest,101,,0.8274530002575329,0.8297331523531435,0.8232706234469568,0.821742130319525
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,random_forest,102,,0.8800976800976801,0.8724527400164974,0.877523400031173,0.8784942551291164
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,random_forest,103,,0.9095273264401772,0.9093956547746592,0.6586689730858033,0.9150207226270516
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,random_forest,104,,0.7966101694915254,0.811242097446681,0.6597236018475291,0.7924850345548917
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,random_forest,105,,0.9032105760151086,0.8954817083945382,0.9005802975658308,0.9045656346638626
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,random_forest,106,,0.883972215075894,0.8094281037961731,0.8059925104973487,0.885227719959962
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,random_forest,107,,0.911805363560962,0.8969718907253349,0.8270531908913115,0.9133094895111588
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,random_forest,108,,0.9288518155053974,0.9149045264061754,0.914372078506308,0.9302424042465336
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,random_forest,109,,0.8775510204081632,1.0,0.233695652173913,0.9347826086956522
canonical_protocol_only_v3,acc16_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,101,12.0,0.8714506969540526,0.8791476366730003,0.8773615226104278,0.868460146442464
canonical_protocol_only_v3,acc16_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,102,12.0,0.7105778648383937,0.7567919770940668,0.7046097898746798,0.6798471644821898
canonical_protocol_only_v3,acc16_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,103,8.0,0.8976261127596439,0.9010218121431264,0.6005069171179757,0.8983562577982872
canonical_protocol_only_v3,acc16_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,104,10.0,0.8941504178272981,0.8991890487594201,0.7437513359312523,0.8910984896912533
canonical_protocol_only_v3,acc16_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,105,12.0,0.9512310606060606,0.9478439472015764,0.948342838168848,0.9519503872955696
